Date,Open,High,Low,Close,Adj Close,Volume
2020-12-11,46099.00781,46099.00781,46099.00781,46099.00781,46099.00781,0
2020-12-14,46253.45703,46253.45703,46253.45703,46253.45703,46253.45703,0
2020-12-15,46263.16797,46263.16797,46263.16797,46263.16797,46263.16797,0
2020-12-16,46666.46484,46666.46484,46666.46484,46666.46484,46666.46484,0
2020-12-17,46890.33594,46890.33594,46890.33594,46890.33594,46890.33594,0
2020-12-18,46960.69531,46960.69531,46960.69531,46960.69531,46960.69531,0
2020-12-21,45553.95703,45553.95703,45553.95703,45553.95703,45553.95703,0
2020-12-22,46006.6875,46006.6875,46006.6875,46006.6875,46006.6875,0
2020-12-23,46444.18359,46444.18359,46444.18359,46444.18359,46444.18359,0
2020-12-24,46973.53906,46973.53906,46973.53906,46973.53906,46973.53906,0
2020-12-28,47353.75391,47353.75391,47353.75391,47353.75391,47353.75391,0
2020-12-29,47613.08203,47613.08203,47613.08203,47613.08203,47613.08203,0
2020-12-30,47746.21875,47746.21875,47746.21875,47746.21875,47746.21875,0
2020-12-31,47751.33594,47751.33594,47751.33594,47751.33594,47751.33594,0
2021-01-01,null,null,null,null,null,null
2021-01-04,48176.80078,48176.80078,48176.80078,48176.80078,48176.80078,0
2021-01-05,48437.77734,48437.77734,48437.77734,48437.77734,48437.77734,0
2021-01-06,48174.05859,48174.05859,48174.05859,48174.05859,48174.05859,0
2021-01-07,48093.32031,48093.32031,48093.32031,48093.32031,48093.32031,0
2021-01-08,48782.51563,48782.51563,48782.51563,48782.51563,48782.51563,0
2021-01-11,49269.32422,49269.32422,49269.32422,49269.32422,49269.32422,0
2021-01-12,49517.10938,49517.10938,49517.10938,49517.10938,49517.10938,0
2021-01-13,49492.32422,49492.32422,49492.32422,49492.32422,49492.32422,0
2021-01-14,49584.16016,49584.16016,49584.16016,49584.16016,49584.16016,0
2021-01-15,49034.66797,49034.66797,49034.66797,49034.66797,49034.66797,0
2021-01-18,null,null,null,null,null,null
2021-01-19,49398.28516,49398.28516,49398.28516,49398.28516,49398.28516,0
2021-01-20,49792.11719,49792.11719,49792.11719,49792.11719,49792.11719,0
2021-01-21,49624.76563,49624.76563,49624.76563,49624.76563,49624.76563,0
2021-01-22,48878.54297,48878.54297,48878.54297,48878.54297,48878.54297,0
2021-01-25,48347.58984,48347.58984,48347.58984,48347.58984,48347.58984,0
2021-01-27,47409.92969,47409.92969,47409.92969,47409.92969,47409.92969,0
2021-01-28,46874.36328,46874.36328,46874.36328,46874.36328,46874.36328,0
2021-01-29,46285.77344,46285.77344,46285.77344,46285.77344,46285.77344,0
2021-02-01,48600.60938,48600.60938,48600.60938,48600.60938,48600.60938,0
2021-02-02,49797.72266,49797.72266,49797.72266,49797.72266,49797.72266,0
2021-02-03,50255.74609,50255.74609,50255.74609,50255.74609,50255.74609,0
2021-02-04,50614.29297,50614.29297,50614.29297,50614.29297,50614.29297,0
2021-02-05,50731.63281,50731.63281,50731.63281,50731.63281,50731.63281,0
